//width, depth
10, 10,,,,,,,,

//map id
1, 1, 1, 1, 2, 2, 1, 1, 1, 1
1, 1, 1, 1, 2, 2, 1, 1, 1, 1
1, 1, 1, 1, 2, 2, 1, 1, 1, 1
1, 1, 0, 0, 1, 1, 0, 0, 1, 1
2, 2, 1, 1, 0, 0, 1, 1, 2, 2
2, 2, 1, 1, 0, 0, 1, 1, 2, 2
1, 1, 0, 0, 1, 1, 0, 0, 1, 1
1, 1, 1, 1, 2, 2, 1, 1, 1, 1
1, 1, 1, 1, 2, 2, 1, 1, 1, 1
1, 1, 1, 1, 2, 2, 1, 1, 1, 1

//height
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
1, 1, 1, 1, 1, 1, 1, 1, 2 ,1
