//width, depth
8, 12,,,,,,,,
//chip id
1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1
1, 2, 1, 1, 1, 1, 2, 1
1, 2, 2, 1, 1, 2, 2, 1
1, 2, 2, 1, 1, 2, 2, 1
1, 2, 0, 1, 1, 0, 2, 1
1, 2, 0, 1, 1, 0, 2, 1
1, 2, 0, 1, 1, 0, 2, 1
1, 2, 2, 1, 1, 2, 2, 1
1, 2, 1, 1, 1, 1, 2, 1
1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1
//height
10, 10, 9, 9, 9, 9, 10, 10
10, 10, 9, 9, 9, 9, 10, 10
8, 2, 9, 9, 9, 9, 2, 8
6, 2, 2, 8, 8, 2, 2, 6
6, 2, 2, 7, 7, 2, 2, 6
6, 2, 4, 6, 6, 4, 2, 6
4, 1, 4, 5, 5, 4, 1, 4
4, 1, 4, 4, 4, 4, 1, 4
5, 1, 1, 3, 3, 1, 1, 5
4, 0, 3, 3, 3, 3, 0, 4
3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3
